scientific_name,color,planttype,maintenance
papaver,white,"Annuals, Perennials",low
papaver,orange,"Annuals, Perennials",low
passiflora,purple,"Annuals, Climbers, Perennials, Shrubs, Trees",medium
passiflora,white,"Annuals, Climbers, Perennials, Shrubs, Trees",medium
passiflora,blue,"Annuals, Climbers, Perennials, Shrubs, Trees",medium
pelargonium,red,"Annuals, Cactus - Succulents, Perennials, Shrubs",low
pelargonium,purple,"Annuals, Cactus - Succulents, Perennials, Shrubs",low
pelargonium,pink,"Annuals, Cactus - Succulents, Perennials, Shrubs",low
pelargonium,white,"Annuals, Cactus - Succulents, Perennials, Shrubs",low
pelargonium,orange,"Annuals, Cactus - Succulents, Perennials, Shrubs",low
penstemon,yellow,Perennials,low
penstemon,red,Perennials,low
penstemon,purple,Perennials,low
penstemon,blue,Perennials,low
penstemon,white,Perennials,low
perovskia,purple,"Perennials, Shrubs",low
perovskia,blue,"Perennials, Shrubs",low
petunia,yellow,"Annuals, Perennials",low
petunia,red,"Annuals, Perennials",low
petunia,purple,"Annuals, Perennials",low
petunia,blue,"Annuals, Perennials",low
petunia,pink,"Annuals, Perennials",low
petunia,white,"Annuals, Perennials",low
phacelia,purple,"Annuals, Perennials",low
phacelia,blue,"Annuals, Perennials",low
phlox,yellow,"Annuals, Perennials",medium
phlox,red,"Annuals, Perennials",medium
phlox,rose,"Annuals, Perennials",medium
phlox,magenta,"Annuals, Perennials",medium
phlox,purple,"Annuals, Perennials",medium
phlox,pink,"Annuals, Perennials",medium
phlox,lavender,"Annuals, Perennials",medium
phlox,white,"Annuals, Perennials",medium
platycodon,purple,Perennials,low
platycodon,blue,Perennials,low
platycodon,pink,Perennials,low
platycodon,white,Perennials,low
plumbago,blue,"Annuals, Climbers, Perennials, Shrubs",low
plumbago,white,"Annuals, Climbers, Perennials, Shrubs",low
plumeria,yellow,"Shrubs, Trees",low
plumeria,white,"Shrubs, Trees",low
plumeria,red,"Shrubs, Trees",low
plumeria,pink,"Shrubs, Trees",low
polygonatum,white,Perennials,low
polygonatum,green,Perennials,low
polygonatum,pink,Perennials,low
potentilla,yellow,"Annuals, Perennials, Shrubs",low
potentilla,red,"Annuals, Perennials, Shrubs",low
potentilla,purple,"Annuals, Perennials, Shrubs",low
potentilla,pink,"Annuals, Perennials, Shrubs",low
potentilla,white,"Annuals, Perennials, Shrubs",low
primula,yellow,Perennials,low
primula,red,Perennials,low
primula,purple,Perennials,low
primula,blue,Perennials,low
primula,pink,Perennials,low
primula,green,Perennials,low
primula,white,Perennials,low
primula,orange,Perennials,low
protea,yellow,"Shrubs, Trees",low
protea,red,"Shrubs, Trees",low
protea,purple,"Shrubs, Trees",low
protea,white,"Shrubs, Trees",low
protea,green,"Shrubs, Trees",low
protea,orange,"Shrubs, Trees",low
prunus,purple,"Shrubs, Trees",low
prunus,white,"Shrubs, Trees",low
prunus,red,"Shrubs, Trees",low
prunus,pink,"Shrubs, Trees",low
pulmonaria,purple,Perennials,low
pulmonaria,blue,Perennials,low
pulmonaria,pink,Perennials,low
pulmonaria,white,Perennials,low
quesnelia,yellow,"Cactus - Succulents, Perennials",low
quesnelia,blue,"Cactus - Succulents, Perennials",low
quesnelia,red,"Cactus - Succulents, Perennials",low
quesnelia,pink,"Cactus - Succulents, Perennials",low
rafflesia,white,,low
rafflesia,brown,,low
ranunculus,yellow,"Annuals, Bulbs, Perennials",low
ranunculus,white,"Annuals, Bulbs, Perennials",low
ranunculus,red,"Annuals, Bulbs, Perennials",low
ranunculus,pink,"Annuals, Bulbs, Perennials",low
rhododendron,red,"Shrubs, Trees",low
rhododendron,purple,"Shrubs, Trees",low
rhododendron,pink,"Shrubs, Trees",low
rhododendron,white,"Shrubs, Trees",low
rhododendron,gold,"Shrubs, Trees",low
rhododendron,orange,"Shrubs, Trees",low
rondeletia,yellow,"Shrubs, Trees",low
rondeletia,white,"Shrubs, Trees",low
rondeletia,red,"Shrubs, Trees",low
rondeletia,pink,"Shrubs, Trees",low
rosa,yellow,"Climbers, Roses, Shrubs",medium
rosa,red,"Climbers, Roses, Shrubs",medium
rosa,purple,"Climbers, Roses, Shrubs",medium
rosa,pink,"Climbers, Roses, Shrubs",medium
rosa,white,"Climbers, Roses, Shrubs",medium
rudbeckia,yellow,"Annuals, Perennials",low
rudbeckia,red,"Annuals, Perennials",low
rudbeckia,black,"Annuals, Perennials",low
rudbeckia,brown,"Annuals, Perennials",low
rudbeckia,green,"Annuals, Perennials",low
rudbeckia,orange,"Annuals, Perennials",low
salvia,blue,"Annuals, Perennials, Shrubs",low
salvia,red,"Annuals, Perennials, Shrubs",low
salvia,pink,"Annuals, Perennials, Shrubs",low
salvia,white,"Annuals, Perennials, Shrubs",low
sandersonia,yellow,"Climbers, Perennials",low
sandersonia,orange,"Climbers, Perennials",low
saxifraga,yellow,Perennials,low
saxifraga,red,Perennials,low
saxifraga,purple,Perennials,low
saxifraga,pink,Perennials,low
saxifraga,white,Perennials,low
scabiosa,yellow,"Annuals, Perennials",low
scabiosa,red,"Annuals, Perennials",low
scabiosa,purple,"Annuals, Perennials",low
scabiosa,blue,"Annuals, Perennials",low
scabiosa,pink,"Annuals, Perennials",low
scabiosa,white,"Annuals, Perennials",low
scilla,purple,Bulbs,low
scilla,blue,Bulbs,low
scilla,white,Bulbs,low
sedum,yellow,"Annuals, Cactus - Succulents, Perennials, Shrubs",low
sedum,red,"Annuals, Cactus - Succulents, Perennials, Shrubs",low
sedum,purple,"Annuals, Cactus - Succulents, Perennials, Shrubs",low
sedum,pink,"Annuals, Cactus - Succulents, Perennials, Shrubs",low
sedum,white,"Annuals, Cactus - Succulents, Perennials, Shrubs",low
sedum,orange,"Annuals, Cactus - Succulents, Perennials, Shrubs",low
solidago,yellow,Perennials,low
spiraea,yellow,Shrubs,low
spiraea,purple,Shrubs,low
spiraea,pink,Shrubs,low
spiraea,white,Shrubs,low
spiraea,cream,Shrubs,low
strelitzia,yellow,"Perennials, Shrubs",low
strelitzia,red,"Perennials, Shrubs",low
strelitzia,purple,"Perennials, Shrubs",low
strelitzia,blue,"Perennials, Shrubs",low
strelitzia,orange,"Perennials, Shrubs",low
syringa,yellow,"Shrubs, Trees",low
syringa,red,"Shrubs, Trees",low
syringa,blue,"Shrubs, Trees",low
syringa,pink,"Shrubs, Trees",low
syringa,white,"Shrubs, Trees",low
tagetes,yellow,"Annuals, Perennials, Shrubs",low
tagetes,orange,"Annuals, Perennials, Shrubs",low
tagetes,white,"Annuals, Perennials, Shrubs",low
tanacetum,yellow,"Annuals, Perennials, Shrubs",medium
tanacetum,white,"Annuals, Perennials, Shrubs",medium
taraxacum,yellow,Perennials,low
taraxacum,white,Perennials,low
tigridia,yellow,Bulbs,low
tigridia,red,Bulbs,low
tigridia,pink,Bulbs,low
tigridia,white,Bulbs,low
tigridia,cream,Bulbs,low
tigridia,orange,Bulbs,low
tigridia,scarlet,Bulbs,low
torenia,yellow,Annuals,medium
torenia,purple,Annuals,medium
torenia,blue,Annuals,medium
torenia,pink,Annuals,medium
torenia,white,Annuals,medium
tradescantia,red,Perennials,low
tradescantia,purple,Perennials,low
tradescantia,blue,Perennials,low
tradescantia,pink,Perennials,low
tradescantia,white,Perennials,low
tricyrtis,purple,Perennials,low
tricyrtis,yellow,Perennials,low
tricyrtis,white,Perennials,low
tricyrtis,red,Perennials,low
trillium,yellow,Perennials,low
trillium,red,Perennials,low
trillium,purple,Perennials,low
trillium,pink,Perennials,low
trillium,maroon,Perennials,low
trillium,white,Perennials,low
trollius,yellow,Perennials,low
trollius,orange,Perennials,low
trollius,white,Perennials,low
tropaeolum,yellow,"Annuals, Perennials",low
tropaeolum,red,"Annuals, Perennials",low
tropaeolum,purple,"Annuals, Perennials",low
tropaeolum,cream,"Annuals, Perennials",low
tropaeolum,orange,"Annuals, Perennials",low
ulex,yellow,Shrubs,low
ursinia,yellow,"Annuals, Perennials",low
ursinia,orange,"Annuals, Perennials",low
ursinia,red,"Annuals, Perennials",low
valeriana,lavender,Perennials,low
valeriana,white,Perennials,low
valeriana,pink,Perennials,low
verbascum,yellow,"Annuals, Perennials",low
verbascum,red,"Annuals, Perennials",low
verbascum,purple,"Annuals, Perennials",low
verbascum,pink,"Annuals, Perennials",low
verbascum,white,"Annuals, Perennials",low
verbena,purple,"Annuals, Perennials",low
verbena,pink,"Annuals, Perennials",low
verbena,red,"Annuals, Perennials",low
verbena,white,"Annuals, Perennials",low
veronica,purple,Perennials,low
veronica,blue,Perennials,low
veronica,pink,Perennials,low
veronica,white,Perennials,low
veronicastrum,purple,Perennials,low
veronicastrum,white,Perennials,low
veronicastrum,pink,Perennials,low
vinca,purple,"Perennials, Shrubs",low
vinca,pink,"Perennials, Shrubs",low
vinca,red,"Perennials, Shrubs",low
vinca,white,"Perennials, Shrubs",low
viola,yellow,"Annuals, Perennials, Shrubs",low
viola,blue,"Annuals, Perennials, Shrubs",low
viola,violet,"Annuals, Perennials, Shrubs",low
viola,white,"Annuals, Perennials, Shrubs",low
viola,cream,"Annuals, Perennials, Shrubs",low
watsonia,red,"Bulbs, Perennials",low
watsonia,purple,"Bulbs, Perennials",low
watsonia,pink,"Bulbs, Perennials",low
watsonia,white,"Bulbs, Perennials",low
watsonia,orange,"Bulbs, Perennials",low
weigela,yellow,Shrubs,low
weigela,pink,Shrubs,low
weigela,red,Shrubs,low
weigela,white,Shrubs,low
wisteria,blue,Climbers,hard
wisteria,white,Climbers,hard
wisteria,pink,Climbers,hard
wisteria,purple,Climbers,hard
xanthisma,purple,"Annuals, Perennials",low
xanthisma,yellow,"Annuals, Perennials",low
xanthisma,white,"Annuals, Perennials",low
xeranthemum,purple,Annuals,low
xeranthemum,pink,Annuals,low
xeranthemum,white,Annuals,low
xerochrysum,yellow,"Annuals, Perennials, Shrubs",low
xerochrysum,red,"Annuals, Perennials, Shrubs",low
xerochrysum,purple,"Annuals, Perennials, Shrubs",low
xerochrysum,pink,"Annuals, Perennials, Shrubs",low
xerochrysum,orange,"Annuals, Perennials, Shrubs",low
xerophyllum,cream,"Herbs, Perennials",low
yucca,green,"Cactus - Succulents, Shrubs, Trees",low
yucca,white,"Cactus - Succulents, Shrubs, Trees",low
zantedeschia,yellow,"Bulbs, Perennials",low
zantedeschia,purple,"Bulbs, Perennials",low
zantedeschia,black,"Bulbs, Perennials",low
zantedeschia,pink,"Bulbs, Perennials",low
zantedeschia,white,"Bulbs, Perennials",low
zantedeschia,orange,"Bulbs, Perennials",low
zephyranthes,yellow,"Annuals, Bulbs, Perennials",medium
zephyranthes,pink,"Annuals, Bulbs, Perennials",medium
zephyranthes,white,"Annuals, Bulbs, Perennials",medium
zinnia,yellow,"Annuals, Perennials, Shrubs",low
zinnia,red,"Annuals, Perennials, Shrubs",low
zinnia,purple,"Annuals, Perennials, Shrubs",low
zinnia,pink,"Annuals, Perennials, Shrubs",low
zinnia,white,"Annuals, Perennials, Shrubs",low
zinnia,orange,"Annuals, Perennials, Shrubs",low
zygopetalum,purple,"Annuals, Perennials",medium
zygopetalum,blue,"Annuals, Perennials",medium
zygopetalum,red,"Annuals, Perennials",medium
zygopetalum,white,"Annuals, Perennials",medium
