scientific_name,name
Brassica,"Cabbage, Kale"
Brassica,Wild Cabbage
Brassica,
Brillantaisia,
Brillantaisia,
Briza,Quaking Grass
Brodiaea,California brodiaea
Brodiaea,Spring Starflower
Bromelia,
Broussonetia,
Brunia,
Brunia,
Brunia,
Buergersiochloa,
Bupleurum,sickle-leaf hare's-ear
Bupleurum,hare's-ear
Bupleurum,thouroughwax
Bupleurum,thorow-wax
Bupleurum,throw-wax
Bupleurum,
Buxus,littleleaf boxwood
Buxus,common box
Buxus,Boxwood
Cajanus,
Calamagrostis,Reed Grass
Calathea,
Calathea,
Calendula,Marigold
Calendula,Calendula
Calendula,Marigold
Calibrachoa,petunia
Calla,water arum
Calla,water dragon
Calla,bog arum
Calla,wild calla
Calla,wild calla-lilly
Calla,Callalily
Callicarpa,Beautyberry
Callicarpa,Mulberry
Callistemon,bottlebrush
Callistephus,annual-aster
Callistephus,China-aster
Callistephus,
Callitris,Pigmy Cypress Pine
Callitris,Rottnest Island Pine
Callitris,White Cypress Pine
Calluna ,Scotch Heather
Calocedrus,Incense Cedar
Calocedrus,Incense Cedar
Calochlaena,
Calochlaena,
Calotropis,bowstring-hemp
Calotropis,crownflower
Calotropis,crownplant
Calotropis,giant milkwood
Calotropis,giant-milkweed
Calotropis,
Calycanthus,Carolina-allspice
Calycanthus,spicebush
Calycanthus,strawberry-shrub
Calycanthus,sweetshrub
Calycanthus,eastern sweetshrub
Calycanthus,
Cambajuva,
Camellia,
Camellia,Assam tea 
Camellia,black tea
Camellia,common tea
Camellia,Green tea
Camellia,Japanese Tea
Camellia,teabush
Camellia,teaplant
Camellia,
Campanula,clustered bellflower
Campanula,Dane's blood
Campanula,Venus's looking-glass
Campanula,Canterbury-bells
Campanula,cup-and-saucer
Campanula,peach-bells
Campanula,peach-leaf bellflower
Campanula,willow bellflower
Campanula,willowbell
Campanula,bluebell-of-Scotland
Campanula,roundleaf harebell
Campanula,bluebell
Campanula,bluebell bellflower
Campanula,meadowbell
Campanula,Bellflower
Campuloclinium ,Pompom Weed
Capsicum,red capsicum
Capsicum,sweet pepper
Capsicum,gochu
Capsicum,La Liao
Capsicum,Greenhouse Pepper
Carduus,plumeless thistle
Carex,Michaux's sedge
Carex,sedge species
Carex,carex
Carex,sedge
Carex,sedges
Carpinus,
Carthamus,safflower
Carthamus,dyer's-saffron
Carthamus,false saffron
Carthamus,safflower
Carya,Hickory
Caryopteris,
Caryota,Fishtail Palm
Cassia,cassia
Castanea,Chestnut
Castanopsis,Japanese Chinquapin
Casuarina,Australian pine
Casuarina,common ironwood
Casuarina,horsetail casuarina
Casuarina,beach she-oak
Casuarina,Australian-pine
Casuarina,coast she-oak
Casuarina,Australian Pine
Catalpa,catalpa
Cathariostachys,
Caustis,foxtail-fern
Caustis,koala
Caustis,
Cedrus,deodar
Cedrus,deodar cedar
Cedrus,Himalayan cedar
Cedrus,Cyprus cedar
Cedrus,cedar of Lebanon
Cedrus,Cedar
Celosia,silver cock's comb
Celosia,cockscomb	
Celosia,amarante crête de coq
Celosia,célosie crête de coq	
Celosia,crested cock's comb
Celosia,
Celosia,
Celtis,hackberry
Cenchrus,sandbur
Centaurea,dusty miller 
Centaurea,bachelor's-button
Centaurea,Blue Bottle
Centaurea,bluebonnets
Centaurea,blue-poppy
Centaurea,brushes
Centaurea,cornflower
Centaurea,corn-pinks
Centaurea,garden cornflower
Centaurea,hurtickle
Centaurea,thimbles
Centaurea,thimbles
Centaurea,bighead knapweed
Centaurea,big yellow centaurea
Centaurea,big-headed knapweed
Centaurea,yellow cornflower
Centaurea,knapweed
Centaurea,star-thistle
Cercidiphyllum,
Cercis,Redbud
Chaenomeles,Flowering Quince
Chamaecyparis,Port Orford Cedar
Chamaecyparis,Lawson cedar
Chamaecyparis,Oregon Cedar
Chamaecyparis,ginger-pine
Chamaecyparis,Port Orford White Cedar
Chamaecyparis,Hinoki Cypress
Chamaecyparis,Cedar
Chamaecyparis,False cypress
Chamaecyparis,Faux cypress
Chamaecyparis,white cedar
Chamaecyparis,Atlantic White Cedar
Chamaecyparis,southern white-cedar
Chamaedaphne,leatherleaf 
Chamaedaphne,leatherleaf
Chamaedorea,cascade palm
Chamaedorea,cat palm
Chamaedorea,parlor palm
Chamaedorea,Tepejilote cambray
Chamaedorea,cauqui
Chamaedorea,
Chamaedorea,chamaedorea 
Chamelaucium,enmyrten
Chamelaucium,
Chamelaucium,Geraldton-wax
Chamelaucium,tallmyrten
Chasmanthe,African corn-flag
Chasmanthe,Aunt Eliza
Chasmanthe,African cornflag
Cheiranthus ,
Cheiranthus ,
Chelone,red turtlehead 
Chelone,turtlehead 
Chimonobambusa,Bamboo
Chimonobambusa,Bamboo Shoots
Chimonocalamus,
Chloothamnus,
Chlorophytum,spider plant
Chlorophytum,
Chlorophytum,chlorophytum 
