name,scientific_name
Sweet William,Dianthus
Sweet Woodruff,Galium
Sweetgum,Liquidambar
Sweetspire,Itea
Switch Cane,Arundinaria
Switch Grass,Panicum
Sycamore,Platanus
Tart Cherry,Prunus
Teaberry,Gaultheria
Thalia,Thalia
Thrift,Armeria
Thyme,Thymus
Tickseed,Coreopsis
Toad Lily,Tricyrtis
Trillium,Trillium
Trout Lily,Erythronium
Trumpet Vine,Campsis
Tulip Poplar,Liriodendron
Tulip Tree,Liriodendron
Turk's-Cap Lily,Lilium
Umbrella Palm,Cyperus
Varnish Tree,Koelreuteria
Verbena,Verbena
Viburnum,Viburnum
Vinca,Vinca
Violet,Viola
Virginia Creeper,Parthenocissus
Vitex,Vitex
Walking Fern,Camptosorus
Walnut,Juglans
Weigela,Weigela
White Beard Tongue,Penstemon
Willow,Salix
Wisteria,Wisteria
Witchhazel,Hamamelis
Wormwood,Artemisia
Yarrow,Achillea
Yellow Poplar,Liriodendron
Yellowwood,Cladrastis
Yew,Taxus
Yucca,Yucca
Zelkova,Zelkova
Fescue,Fescue
